period,district,category_code,category,store_count,confirmed_count,coverage_status,qoq_pct,yoy_pct,quarter,is_quarter_end_snapshot,is_main
2024-03-01,대덕구,P1,교육 서비스업,245,245,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,대덕구,Q1,보건의료업,46,46,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,대덕구,L1,부동산업,201,201,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,대덕구,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",319,319,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,대덕구,G2,소매업,2209,2209,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,대덕구,S2,수리 및 개인 서비스업,1238,1238,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,대덕구,I1,숙박업,79,79,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,대덕구,R1,"예술, 스포츠 및 여가관련 서비스업",465,465,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,대덕구,I2,음식점업,2726,2726,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,대덕구,M1,"전문, 과학 및 기술 서비스업",576,576,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,동구,P1,교육 서비스업,297,297,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,동구,Q1,보건의료업,84,84,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,동구,L1,부동산업,361,361,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,동구,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",368,368,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,동구,G2,소매업,3130,3130,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,동구,S2,수리 및 개인 서비스업,1392,1392,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,동구,I1,숙박업,171,171,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,동구,R1,"예술, 스포츠 및 여가관련 서비스업",467,467,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,동구,I2,음식점업,3395,3395,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,동구,M1,"전문, 과학 및 기술 서비스업",825,825,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,서구,P1,교육 서비스업,1293,1293,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,서구,Q1,보건의료업,351,351,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,서구,L1,부동산업,954,954,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,서구,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",948,948,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,서구,G2,소매업,5723,5723,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,서구,S2,수리 및 개인 서비스업,3344,3344,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,서구,I1,숙박업,121,121,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,서구,R1,"예술, 스포츠 및 여가관련 서비스업",1207,1207,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,서구,I2,음식점업,7320,7320,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,서구,M1,"전문, 과학 및 기술 서비스업",2674,2674,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,유성구,P1,교육 서비스업,946,946,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,유성구,Q1,보건의료업,171,171,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,유성구,L1,부동산업,695,695,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,유성구,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",630,630,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,유성구,G2,소매업,4393,4393,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,유성구,S2,수리 및 개인 서비스업,2145,2145,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,유성구,I1,숙박업,128,128,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,유성구,R1,"예술, 스포츠 및 여가관련 서비스업",811,811,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,유성구,I2,음식점업,6160,6160,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,유성구,M1,"전문, 과학 및 기술 서비스업",1520,1520,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,중구,P1,교육 서비스업,419,419,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,중구,Q1,보건의료업,104,104,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,중구,L1,부동산업,322,322,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,중구,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",498,498,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,중구,G2,소매업,3594,3594,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,중구,S2,수리 및 개인 서비스업,1612,1612,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,중구,I1,숙박업,159,159,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,중구,R1,"예술, 스포츠 및 여가관련 서비스업",545,545,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,중구,I2,음식점업,3863,3863,관측체계 내 확정집계,,,2024Q1,True,False
2024-03-01,중구,M1,"전문, 과학 및 기술 서비스업",823,823,관측체계 내 확정집계,,,2024Q1,True,False
2024-06-01,대덕구,P1,교육 서비스업,245,245,관측체계 내 확정집계,0.00000000,,2024Q2,True,False
2024-06-01,대덕구,Q1,보건의료업,46,46,관측체계 내 확정집계,0.00000000,,2024Q2,True,False
2024-06-01,대덕구,L1,부동산업,194,194,관측체계 내 확정집계,-3.48258706,,2024Q2,True,False
2024-06-01,대덕구,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",322,322,관측체계 내 확정집계,0.94043887,,2024Q2,True,False
2024-06-01,대덕구,G2,소매업,2175,2175,관측체계 내 확정집계,-1.53915799,,2024Q2,True,False
2024-06-01,대덕구,S2,수리 및 개인 서비스업,1231,1231,관측체계 내 확정집계,-0.56542811,,2024Q2,True,False
2024-06-01,대덕구,I1,숙박업,78,78,관측체계 내 확정집계,-1.26582278,,2024Q2,True,False
2024-06-01,대덕구,R1,"예술, 스포츠 및 여가관련 서비스업",447,447,관측체계 내 확정집계,-3.87096774,,2024Q2,True,False
2024-06-01,대덕구,I2,음식점업,2662,2662,관측체계 내 확정집계,-2.34776229,,2024Q2,True,False
2024-06-01,대덕구,M1,"전문, 과학 및 기술 서비스업",572,572,관측체계 내 확정집계,-0.69444444,,2024Q2,True,False
